id,url,status,redirect_url,is_domain_for_sale,is_domain_expired,is_domain_parking,is_domain_managed,is_seo_spam,is_admin_panel
743768,http://.akabou.ne.jp/marufuku,404,,,,,,,
187444,http://.729.co.jp/index.html,200,http://729.co.jp/index.html,False,False,False,False,False,False
3959941,http://.dam-dan.co.jp/index.html,200,http://dam-dan.co.jp/index.html,False,False,False,False,False,False
3576397,http://.iwanokanagata.co.jp/,200,http://iwanokanagata.co.jp/,False,False,False,False,False,False
3545219,http://.gol.com/users/csh/index.html,404,,,,,,,
3569092,http://.gol.com/users/shouei-ss/index.html,404,,,,,,,
137668,http://.odn.ne.jp,200,https://odn.ne.jp/,False,False,False,False,False,True
2227640,http://.issolution.co.jp/,DNS_ERROR,,,,,,,
2289344,http://.famille.ne.jp/~shfk136/,404,,,,,,,
4160151,http://.infomart.co.jp/oroshi/index.pagex?1&oroshi_smcd=ScxGmQsu,200,https://www.infomart.co.jp/oroshi/index.pagex?1&oroshi_smcd=ScxGmQsu,False,False,False,False,False,False
4544412,http://.infomart.co.jp/oroshi/index.pagex?2&oroshi_smcd=S9fA3NZ1,200,https://www.infomart.co.jp/oroshi/index.pagex?2&oroshi_smcd=S9fA3NZ1,False,False,False,False,False,False
260606,http://.infomart.co.jp/oroshi/index.pagex?2&oroshi_smcd=Sr2sXSEp,200,https://www.infomart.co.jp/oroshi/index.pagex?2&oroshi_smcd=Sr2sXSEp,False,False,False,False,False,False
1297686,http://.famille.ne.jp,200,https://www.famille.ne.jp/,False,False,True,False,False,False
5709,http://.famille.ne.jp/~tsukada/index.html,404,,,,,,,
3498831,http://.infomart.co.jp/oroshi/index.pagex?8&oroshi_smcd=Sfi3uJVw,200,https://www.infomart.co.jp/oroshi/index.pagex?8&oroshi_smcd=Sfi3uJVw,False,False,False,False,False,False
4101544,http://.odn.ne.jp/~hai00030/index.html,200,https://odn.ne.jp/index.html?para=nf,False,False,False,False,False,True
1263488,http://.cts.ne.jp/~nitto/index.html,404,,,,,,,
546726,http://.cts.ne.jp/~i-kenma/index.html,404,,,,,,,
1712128,http://.cts.ne.jp/~saitoh/,404,,,,,,,
2959875,http://.cts.ne.jp/~saitoh/saitoTatemono/saitoutop.html,404,,,,,,,
1253631,http://.plala.or.jp/east-c/,404,,,,,,,
1244869,http://.cts.ne.jp/~touei/index.html,404,,,,,,,
1610872,http://.cts.ne.jp/~touyou/,404,,,,,,,
142583,http://.plala.or.jp/ebisu-plan/index.html,404,,,,,,,
751777,http://.point.ne.jp/~kanirihuto/index.html,404,,,,,,,
1161970,http://.plala.or.jp/eisekkei/,404,,,,,,,
2006292,http://.smileurayasu.com,200,http://smileurayasu.com,False,False,False,False,False,False
1202344,http://.point.ne.jp/~miyabe/index.html,404,,,,,,,
101098,http://.realtor.ne.jp/kenroku/,404,,,,,,,
2310897,http://.sobikogyo.com/home,404,,,,,,,
4479079,http://.plala.or.jp/FBK/,404,,,,,,,
2317063,http://.senko.co.jp/insurance/index.html,404,,,,,,,
4470733,http://.suzuki.co.jp/bikeshop/toho-shokai,200,https://www.suzuki.co.jp/error/404.html,False,False,True,False,False,False
74368,http://.speednet.ne.jp/~sumidacr/index.html,DNS_ERROR,,,,,,,
3526888,http://.plala.or.jp/kaigo-dash/,404,,,,,,,
2431794,http://.tcn-catv.ne.jp/actv/,404,,,,,,,
4557699,http://.tcn-catv.ne.jp/numatasyouji/,404,,,,,,,
3054173,http://.tbb.t-com.ne.jp/baby-elephant/,DNS_ERROR,,,,,,,
12952,http://.plala.or.jp/ko-ku/index.html,404,,,,,,,
4502310,http://.tcn-catv.ne.jp/tunoda/index.html,404,,,,,,,
2422293,http://.plala.or.jp/kohda-kensetu/index.html,404,,,,,,,
1757940,http://.plala.or.jp/LS-kaigo/vnst-sakura.html,404,,,,,,,
1281189,http://.tn-japan.co.jp/asanetsu/index.html,404,,,,,,,
2937681,http://.plala.or.jp/maido-yoshioka/index.html,404,,,,,,,
3519019,http://.plala.or.jp/nagatatatu/index.html,404,,,,,,,
2297604,http:///nisshin-tec.jp/,ERROR,,,,,,,
4459280,http://.plala.or.jp/oomorihousing/,404,,,,,,,
1762919,http://.plala.or.jp/pl-umeda/index.html,404,,,,,,,
4976219,http:///oeterume4126.web.fc2.com/,ERROR,,,,,,,
3662711,http://.plala.or.jp/shinjuku/aj/main.html,404,,,,,,,
3531539,http:///www.haseman.co.jp,ERROR,,,,,,,
719837,http://.u-netsurf.ne.jp/~senasena/,404,,,,,,,
1748797,http://.u-netsurf.ne.jp,200,https://www.netsurf.ad.jp/,False,False,True,False,False,False
3055145,http://.plala.or.jp/simada_kensetu/,404,,,,,,,
4182728,http:///www.kiyoto.co.jp,ERROR,,,,,,,
2788304,http://.plala.or.jp/superojacky1974,404,,,,,,,
1761218,http://.ttcn.ne.jp/~DENKI/,DNS_ERROR,,,,,,,
4453247,http:///www.meien-pro.jp/,ERROR,,,,,,,
411980,http://0-10.co.jp,200,,False,False,False,False,False,False
1296738,http://.plala.or.jp/toyokoh/index.html,404,,,,,,,
2158331,http://0024.co.jp,200,,False,False,False,False,False,False
2678333,http://0-en.net,200,https://www.0-en.net/,False,False,True,False,True,False
3532348,http://0051.co.jp/,200,,False,False,False,False,False,False
898795,http://0030.jp,200,https://0030.jp/,False,False,False,False,False,False
2871404,http://0007.co.jp/,200,https://www.0007.co.jp/,False,False,True,False,False,False
4409673,http://0039.jp/,200,,False,False,True,False,True,False
1289836,http://01-office.co.jp/index.html,200,https://01-office.co.jp/index.html,False,False,False,False,False,False
5340599,http://0109g.com/,200,,False,False,False,False,False,False
487817,http://0101net.jp,200,,False,False,False,False,False,False
2406299,http://01.246.ne.jp/~marubisi/index.html,200,http://www.01.246.ne.jp/~marubisi/index.html,False,False,False,False,False,False
4509879,http://00005.jp,DNS_ERROR,,,,,,,
758410,http://.ttcn.ne.jp/~hdk/index.htm,DNS_ERROR,,,,,,,
38248,http://0.plala.or.jp,DNS_ERROR,,,,,,,
1734227,http://0.plala.or.jp/T-ONE/index.html,DNS_ERROR,,,,,,,
4033259,http://01-design.co.jp/,200,https://www.01-design.co.jp:443/,False,False,False,False,False,False
303524,http://0117.co.jp/company.html,DNS_ERROR,,,,,,,
2333131,http://00works.asia/,200,https://www.00works.asia/,False,False,False,False,False,False
4063346,http://01farm.com,200,,False,False,False,False,False,False
4062836,http://01degree.jp,200,https://01degree.jp/,False,False,True,False,False,False
2327158,http://017.co.jp,DNS_ERROR,,,,,,,
4158161,http://01maruichi.co.jp/,200,,False,False,False,False,False,False
1545497,http://01uniform.jp/,403,,,,,,,
1806553,http://0172.jp/,200,https://0172.co.jp,False,False,False,False,False,False
3970517,http://0192-55-2222.jp,DNS_ERROR,,,,,,,
2977096,http://0216.co.jp/index.html,200,,False,False,False,False,False,False
3487842,http://.ttcn.ne.jp/~insatsu/,DNS_ERROR,,,,,,,
4056338,http://017.co.jp/sunworld/index.shtml,DNS_ERROR,,,,,,,
1884682,http://01fuji.jp,200,https://01fuji.jp/,False,False,True,False,False,False
1161585,http://0244445000.jp/?FrontPage,200,,False,False,False,False,False,False
2459746,http://0210.com/,200,https://www.0210.com/,False,False,True,False,True,False
3224151,http://01okada.co.jp/,200,,False,False,False,False,False,False
3277844,http://023.co.jp/,200,,False,False,True,False,False,False
1288453,http://01.upp.so-net.ne.jp/shinei-s/index.html,DNS_ERROR,,,,,,,
2238909,http://02po.com,200,,False,False,False,True,False,False
1347004,http://0291.jp,200,,False,False,True,False,False,False
1965937,http://02-marui.com,DNS_ERROR,,,,,,,
3450727,http://.ttcn.ne.jp/~isd/index.html,DNS_ERROR,,,,,,,
1069608,http://026968.com/,200,https://026968.com/,False,False,False,False,False,False
1012909,http://024gamo.co.jp/,200,https://gamo-ouest.co.jp/,False,False,True,False,False,False
5285341,http://0271.jp/,200,,False,False,False,False,False,False
2934196,http://.ttcn.ne.jp/~taiyo/index.html,DNS_ERROR,,,,,,,
4078717,http://.ttcn.ne.jp/miraisozo/index.html,DNS_ERROR,,,,,,,
1262101,http://01.upp.so-net.ne.jp/kosugi-sangyo/,DNS_ERROR,,,,,,,
889280,http://0542500222.co.jp,200,,False,False,False,False,False,False
